t,Va,Vb,Vc,Ia,Ib,Ic,Fault
0.013,-312.6604127,220.6730413,91.98737143,-9761.35477,6925.233297,2836.121473,0
0.0131,-314.8398496,213.2258607,101.6139889,-9830.694268,6693.360855,3137.333413,0
0.0132,-316.7085775,205.568252,111.1403256,-9890.332061,6454.882875,3435.449186,0
0.0133,-318.2647524,197.7077722,120.5569802,-9940.209293,6210.034704,3730.174589,0
0.0134,-319.5068383,189.6521787,129.8546596,-9980.276741,5959.057979,4021.218763,0
0.0135,-320.4336096,181.4094214,139.0241882,-10010.49486,5702.200383,4308.294481,0
0.0136,-321.0441515,172.9876349,148.0565166,-10030.83384,5439.715403,4591.118437,0
0.0137,-321.3378617,164.3951305,156.9427312,-10041.2736,5171.862082,4869.411515,0
0.0138,-321.3144502,155.6403879,165.6740622,-10041.80383,4898.904756,5142.899075,0
0.0139,-320.9739401,146.7320471,174.2418929,-10032.42402,4621.112804,5411.311217,0
0.014,-320.3166674,137.6788995,182.637768,-10013.14342,4338.760371,5674.383052,0
0.0141,-319.3432809,128.4898794,190.8534016,-9983.981063,4052.126105,5931.854958,0
0.0142,-318.0547412,119.1740553,198.8806859,-9944.965722,3761.49288,6183.472842,0
0.0143,-316.4523198,109.7406208,206.711699,-9896.135903,3467.147515,6428.988388,0
0.0144,-314.5375981,100.1988856,214.3387126,-9837.539796,3169.380495,6668.159301,0
0.0145,-312.3124659,90.55826613,221.7541998,-9769.235228,2868.485678,6900.749549,0
0.0146,-309.7791189,80.82827661,228.9508423,-9691.289606,2564.760013,7126.529593,0
0.0147,-306.9400574,71.01851935,235.921538,-9603.779855,2258.503239,7345.276616,0
0.0148,-303.798083,61.13867538,242.6594076,-9506.792335,1950.017595,7556.77474,0
0.0149,-300.3562966,51.19849492,249.1578017,-9400.422762,1639.60752,7760.815243,0
0.015,-296.6180949,41.20778773,255.4103071,-9284.77611,1327.579349,7957.196761,0
0.0151,-292.5871669,31.17641342,261.4107534,-9159.966507,1014.241018,8145.725489,0
0.0152,-288.2674906,21.11427176,267.1532189,-9026.117126,699.9017536,8326.215372,0
0.0153,-283.6633292,11.03129286,272.6320363,-8883.360059,384.8717706,8498.488289,0
0.0154,-278.7792263,0.937427408,277.8417989,-8731.836192,69.46196563,8662.374226,0
0.0155,-273.6200019,-9.157363173,282.7773651,-8571.695059,-246.0163899,8817.711449,0
0.0156,-268.1907477,-19.24311654,287.4338642,-8403.094702,-561.251957,8964.346658,0
0.0157,-262.4968215,-29.30987928,291.8067008,-8226.201506,-875.9336361,9102.135143,0
0.0158,-256.5438427,-39.3477167,295.8915594,-8041.190046,-1189.750875,9230.940921,0
0.0159,-250.3376861,-49.34672268,299.6844088,-7848.242905,-1502.393972,9350.636878,0
0.016,-243.8844764,-59.2970294,303.1815058,-7647.550499,-1813.554389,9461.104888,0
0.0161,-237.1905822,-69.18881711,306.3793993,-7439.310887,-2122.925046,9562.235933,0
0.0162,-230.2626095,-79.01232381,309.2749333,-7223.729575,-2430.200633,9653.930208,0
0.0163,-223.1073954,-88.75785489,311.8652503,-7001.019318,-2735.077905,9736.097222,0
0.0164,-215.7320012,-98.41579268,314.1477939,-6771.399902,-3037.255985,9808.655887,0
0.0165,-208.1437056,-107.976606,316.1203116,-6535.097935,-3336.43666,9871.534595,0
0.0166,-200.3499973,-117.4308594,317.7808567,-6292.346618,-3632.324675,9924.671293,0
0.0167,-192.3585678,-126.7692227,319.1277905,-6043.385518,-3924.628024,9968.013542,0
0.0168,-184.1773035,-135.9824801,320.1597836,-5788.460328,-4213.058239,10001.51857,0
0.0169,-175.8142785,-145.0615392,320.8758177,-5527.82263,-4497.330675,10025.1533,0
0.017,-167.277746,-153.9974401,321.2751862,-5261.729641,-4777.164788,10038.89443,0
0.0171,-158.5761306,-162.7813642,321.3574948,-4990.443963,-5052.284416,10042.72838,0
0.0172,-149.7180197,-171.4046426,321.1226623,-4714.233322,-5322.418049,10036.65137,0
0.0173,-140.7121551,-179.8587654,320.5709205,-4433.370305,-5587.299098,10020.6694,0
0.0174,-131.5674247,-188.1353893,319.702814,-4148.132089,-5846.666158,9994.798247,0
0.0175,-122.2928531,-196.2263462,318.5191994,-3858.800171,-6100.263264,9959.063434,0
0.0176,-112.8975932,-204.1236515,317.0212447,-3565.660085,-6347.840146,9913.500231,0
0.0177,-103.390917,-211.8195114,315.2104284,-3269.001126,-6589.152477,9858.153603,0
